500,500,500,500,500,500
488,512,488,512,488,512
477,524,477,524,477,524
466,537,466,537,466,537
455,549,455,549,455,549
445,561,445,561,445,561
436,573,436,573,436,573
428,585,428,585,428,585
420,596,420,596,420,596
413,606,413,606,413,606
406,616,406,616,406,616
401,625,401,625,401,625
396,632,396,632,396,632
392,639,392,639,392,639
389,645,389,645,389,645
386,649,386,649,386,649
384,652,384,652,384,652
383,654,383,654,383,654
383,655,383,655,383,655
383,654,383,654,383,654
384,652,384,652,384,652
386,649,386,649,386,649
389,645,389,645,389,645
392,639,392,639,392,639
396,632,396,632,396,632
401,625,401,625,401,625
406,616,406,616,406,616
413,606,413,606,413,606
420,596,420,596,420,596
428,585,428,585,428,585
436,573,436,573,436,573
445,561,445,561,445,561
455,549,455,549,455,549
466,537,466,537,466,537
477,524,477,524,477,524
488,512,488,512,488,512
500,500,500,500,500,500
512,488,512,488,512,488
524,477,524,477,524,477
537,466,537,466,537,466
549,455,549,455,549,455
